Time [s],V [mV]
0.016666667,371.4565
0.033333333,405.6696
0.05,410.5572
0.066666667,395.8944
0.083333333,386.1193
0.1,366.5689
0.116666667,371.4565
0.133333333,400.782
0.15,464.3206
0.166666667,537.6344
0.183333333,615.8358
0.2,694.0371
0.216666667,742.913
0.233333333,811.3392
0.25,889.5406
0.266666667,977.5171
0.283333333,1075.2688
0.3,1177.9081
0.316666667,1246.3343
0.333333333,1300.0978
0.35,1339.1984
0.366666667,1368.5239
0.383333333,1353.8612
0.4,1309.8729
0.416666667,1265.8847
0.433333333,1246.3343
0.45,1256.1095
0.466666667,1275.6598
0.483333333,1285.435
0.5,1334.3109
0.516666667,1407.6246
0.533333333,1471.1632
0.55,1490.7136
0.566666667,1466.2757
0.583333333,1436.9501
0.6,1412.5122
0.616666667,1402.737
0.633333333,1407.6246
0.65,1480.9384
0.666666667,1578.6901
0.683333333,1681.3294
0.7,1764.4184
0.716666667,1798.6315
0.733333333,1783.9687
0.75,1681.3294
0.766666667,1471.1632
0.783333333,1177.9081
0.8,874.8778
0.816666667,586.5103
0.833333333,366.5689
0.85,219.9413
0.866666667,136.8524
0.883333333,97.7517
0.9,83.089
0.916666667,97.7517
0.933333333,166.1779
0.95,263.9296
0.966666667,303.0303
0.983333333,303.0303
1,283.48
1.016666667,259.042
1.033333333,249.2669
1.05,259.042
1.066666667,293.2551
1.083333333,332.3558
1.1,356.7937
1.116666667,356.7937
1.133333333,347.0186
1.15,332.3558
1.166666667,332.3558
1.183333333,351.9062
1.2,371.4565
1.216666667,386.1193
1.233333333,405.6696
1.25,449.6579
1.266666667,464.3206
1.283333333,459.433
1.3,469.2082
1.316666667,498.5337
1.333333333,522.9717
1.35,542.522
1.366666667,581.6227
1.383333333,635.3861
1.4,698.9247
1.416666667,767.3509
1.433333333,835.7771
1.45,899.3157
1.466666667,972.6295
1.483333333,1011.7302
1.5,1050.8309
1.516666667,1094.8192
1.533333333,1099.7067
1.55,1109.4819
1.566666667,1124.1447
1.583333333,1163.2454
1.6,1226.784
1.616666667,1285.435
1.633333333,1300.0978
1.65,1309.8729
1.666666667,1324.5357
1.683333333,1334.3109
1.7,1329.4233
1.716666667,1344.086
1.733333333,1368.5239
1.75,1402.737
1.766666667,1436.9501
1.783333333,1476.0508
1.8,1515.1515
1.816666667,1554.2522
1.833333333,1612.9032
1.85,1656.8915
1.866666667,1710.6549
1.883333333,1744.868
1.9,1730.2053
1.916666667,1617.7908
1.933333333,1427.175
1.95,1217.0088
1.966666667,1001.955
1.983333333,801.564
2,640.2737
2.016666667,547.4096
2.033333333,488.7586
2.05,474.0958
2.066666667,469.2082
2.083333333,449.6579
2.1,444.7703
2.116666667,464.3206
2.133333333,478.9834
2.15,522.9717
2.166666667,610.9482
2.183333333,738.0254
2.2,806.4516
2.216666667,840.6647
2.233333333,855.3275
2.25,865.1026
2.266666667,860.2151
2.283333333,845.5523
2.3,801.564
2.316666667,747.8006
2.333333333,703.8123
2.35,698.9247
2.366666667,723.3627
2.383333333,767.3509
2.4,830.8895
2.416666667,904.2033
2.433333333,962.8543
2.45,997.0674
2.466666667,1021.5054
2.483333333,1021.5054
2.5,1031.2805
2.516666667,1080.1564
2.533333333,1133.9198
2.55,1202.346
2.566666667,1339.1984
2.583333333,1710.6549
2.6,2179.8631
2.616666667,2649.0714
2.633333333,3176.9306
2.65,3611.9257
2.666666667,3914.956
2.683333333,4002.9326
2.7,3963.8319
2.716666667,3846.5298
2.733333333,3690.1271
2.75,3533.7243
2.766666667,3396.8719
2.783333333,3069.4037
2.8,2502.4438
2.816666667,1925.7087
2.833333333,1446.7253
2.85,1104.5943
2.866666667,874.8778
2.883333333,708.6999
2.9,610.9482
2.916666667,571.8475
2.933333333,566.9599
2.95,586.5103
2.966666667,615.8358
2.983333333,674.4868
3,718.4751
3.016666667,772.2385
3.033333333,811.3392
3.05,811.3392
3.066666667,733.1378
3.083333333,586.5103
3.1,430.1075
3.116666667,288.3675
3.133333333,180.8407
3.15,117.3021
