Time [s],V [mV],,,,,
0.016666667,5000,,,,,
0.033333333,5000,,,,,
0.05,5000,,,,,
0.066666667,5000,,,,,
0.083333333,5000,,,,,
0.1,5000,,,,,
0.116666667,5000,,,,,
0.133333333,5000,,,,,
0.15,5000,,,,,
0.166666667,5000,,,,,
0.183333333,5000,,,,,
0.2,5000,,,,,
0.216666667,5000,,,,,
0.233333333,5000,,,,,
0.25,5000,,,,,
0.266666667,5000,,,,,
0.283333333,5000,,,,,
0.3,5000,,,,,
0.316666667,5000,,,,,
0.333333333,5000,,,,,
0.35,5000,,,,,
0.366666667,5000,,,,,
0.383333333,5000,,,,,
0.4,5000,,,,,
0.416666667,5000,,,,,
0.433333333,5000,,,,,
0.45,5000,,,,,
0.466666667,5000,,,,,
0.483333333,5000,,,,,
0.5,5000,,,,,
0.516666667,5000,,,,,
0.533333333,5000,,,,,
0.55,5000,,,,,
0.566666667,5000,,,,,
0.583333333,5000,,,,,
0.6,5000,,,,,
0.616666667,5000,,,HERE: 75bpm,,Phone: 90bpm
0.633333333,5000,,,,,
0.65,5000,,,,,
0.666666667,5000,,,,,
0.683333333,5000,,,,,
0.7,5000,,,,,
0.716666667,5000,,,,,
0.733333333,5000,,,,,
0.75,5000,,,,,
0.766666667,5000,,,,,
0.783333333,5000,,,,,
0.8,5000,,,,,
0.816666667,5000,,,,,
0.833333333,5000,,,,,
0.85,5000,,,,,
0.866666667,5000,,,,,
0.883333333,5000,,,,,
0.9,5000,,,,,
0.916666667,5000,,,,,
0.933333333,5000,,,,,
0.95,5000,,,,,
0.966666667,5000,,,,,
0.983333333,5000,,,,,
1,5000,,,,,
1.016666667,5000,,,,,
1.033333333,5000,,,,,
1.05,5000,,,,,
1.066666667,5000,,,,,
1.083333333,5000,,,,,
1.1,5000,,,,,
1.116666667,5000,,,,,
1.133333333,5000,,,,,
1.15,5000,,,,,
1.166666667,5000,,,,,
1.183333333,5000,,,,,
1.2,5000,,,,,
1.216666667,5000,,,,,
1.233333333,5000,,,,,
1.25,5000,,,,,
1.266666667,5000,,,,,
1.283333333,5000,,,,,
1.3,5000,,,,,
1.316666667,5000,,,,,
1.333333333,5000,,,,,
1.35,5000,,,,,
1.366666667,5000,,,,,
1.383333333,5000,,,,,
1.4,5000,,,,,
1.416666667,5000,,,,,
1.433333333,5000,,,,,
1.45,5000,,,,,
1.466666667,5000,,,,,
1.483333333,5000,,,,,
1.5,5000,,,,,
1.516666667,5000,,,,,
1.533333333,5000,,,,,
1.55,5000,,,,,
1.566666667,5000,,,,,
1.583333333,5000,,,,,
1.6,5000,,,,,
1.616666667,5000,,,,,
1.633333333,5000,,,,,
1.65,5000,,,,,
1.666666667,5000,,,,,
1.683333333,5000,,,,,
1.7,5000,,,,,
1.716666667,5000,,,,,
1.733333333,5000,,,,,
1.75,5000,,,,,
1.766666667,5000,,,,,
1.783333333,5000,,,,,
1.8,5000,,,,,
1.816666667,5000,,,,,
1.833333333,5000,,,,,
1.85,5000,,,,,
1.866666667,5000,,,,,
1.883333333,5000,,,,,
1.9,5000,,,,,
1.916666667,5000,,,,,
1.933333333,5000,,,,,
1.95,5000,,,,,
1.966666667,5000,,,,,
1.983333333,5000,,,,,
2,5000,,,,,
2.016666667,5000,,,,,
2.033333333,5000,,,,,
2.05,5000,,,,,
2.066666667,5000,,,,,
2.083333333,5000,,,,,
2.1,5000,,,,,
2.116666667,5000,,,,,
2.133333333,5000,,,,,
2.15,5000,,,,,
2.166666667,5000,,,,,
2.183333333,5000,,,,,
2.2,5000,,,,,
2.216666667,5000,,,,,
2.233333333,5000,,,,,
2.25,5000,,,,,
2.266666667,5000,,,,,
2.283333333,5000,,,,,
2.3,3421.3099,,,,,
2.316666667,2355.8162,,,,,
2.333333333,1642.2287,,,,,
2.35,1173.0205,,,,,
2.366666667,855.3275,,,,,
2.383333333,640.2737,,,,,
2.4,493.6461,,,,,
2.416666667,395.8944,,,,,
2.433333333,327.4682,,,,,
2.45,278.5924,,,,,
2.466666667,244.3793,,,,,
2.483333333,219.9413,,,,,
2.5,200.391,,,,,
2.516666667,185.7283,,,,,
2.533333333,175.9531,,,,,
2.55,171.0655,,,,,
2.566666667,166.1779,,,,,
2.583333333,156.4027,,,,,
2.6,151.5152,,,,,
2.616666667,151.5152,,,,,
2.633333333,146.6276,,,,,
2.65,141.74,,,,,
2.666666667,136.8524,,,,,
2.683333333,136.8524,,,,,
2.7,141.74,,,,,
2.716666667,131.9648,,,,,
2.733333333,131.9648,,,,,
2.75,131.9648,,,,,
2.766666667,127.0772,,,,,
2.783333333,127.0772,,,,,
2.8,122.1896,,,,,
2.816666667,122.1896,,,,,
2.833333333,127.0772,,,,,
2.85,122.1896,,,,,
2.866666667,122.1896,,,,,
2.883333333,122.1896,,,,,
2.9,117.3021,,,,,
2.916666667,117.3021,,,,,
2.933333333,117.3021,,,,,
2.95,117.3021,,,,,
2.966666667,112.4145,,,,,
2.983333333,112.4145,,,,,
3,117.3021,,,,,
3.016666667,112.4145,,,,,
3.033333333,112.4145,,,,,
3.05,112.4145,,,,,
3.066666667,117.3021,,,,,
3.083333333,112.4145,,,,,
3.1,112.4145,,,,,
3.116666667,112.4145,,,,,
3.133333333,112.4145,,,,,
3.15,107.5269,,,,,
3.166666667,107.5269,,,,,
3.183333333,112.4145,,,,,
3.2,107.5269,,,,,
3.216666667,102.6393,,,,,
3.233333333,107.5269,,,,,
3.25,107.5269,,,,,
3.266666667,102.6393,,,,,
3.283333333,102.6393,,,,,
3.3,107.5269,,,,,
3.316666667,107.5269,,,,,
3.333333333,102.6393,,,,,
3.35,102.6393,,,,,
3.366666667,102.6393,,,,,
3.383333333,102.6393,,,,,
3.4,102.6393,,,,,
3.416666667,102.6393,,,,,
3.433333333,102.6393,,,,,
3.45,102.6393,,,,,
3.466666667,102.6393,,,,,
3.483333333,102.6393,,,,,
3.5,102.6393,,,,,
3.516666667,102.6393,,,,,
3.533333333,102.6393,,,,,
3.55,97.7517,,,,,
3.566666667,97.7517,,,,,
3.583333333,102.6393,,,,,
3.6,102.6393,,,,,
3.616666667,97.7517,,,,,
3.633333333,102.6393,,,,,
3.65,97.7517,,,,,
3.666666667,97.7517,,,,,
3.683333333,97.7517,,,,,
3.7,97.7517,,,,,
3.716666667,97.7517,,,,,
3.733333333,97.7517,,,,,
3.75,97.7517,,,,,
3.766666667,92.8641,,,,,
3.783333333,97.7517,,,,,
3.8,97.7517,,,,,
3.816666667,102.6393,,,,,
3.833333333,97.7517,,,,,
3.85,97.7517,,,,,
3.866666667,97.7517,,,,,
3.883333333,97.7517,,,,,
3.9,97.7517,,,,,
3.916666667,97.7517,,,,,
3.933333333,97.7517,,,,,
3.95,97.7517,,,,,
3.966666667,97.7517,,,,,
3.983333333,92.8641,,,,,
4,92.8641,,,,,
4.016666667,92.8641,,,,,
4.033333333,97.7517,,,,,
4.05,97.7517,,,,,
4.066666667,97.7517,,,,,
4.083333333,97.7517,,,,,
4.1,97.7517,,,,,
4.116666667,92.8641,,,,,
4.133333333,97.7517,,,,,
4.15,97.7517,,,,,
4.166666667,97.7517,,,,,
4.183333333,97.7517,,,,,
4.2,97.7517,,,,,
4.216666667,92.8641,,,,,
4.233333333,92.8641,,,,,
4.25,92.8641,,,,,
4.266666667,92.8641,,,,,
4.283333333,97.7517,,,,,
4.3,92.8641,,,,,
4.316666667,92.8641,,,,,
4.333333333,92.8641,,,,,
4.35,97.7517,,,,,
4.366666667,92.8641,,,,,
4.383333333,92.8641,,,,,
4.4,92.8641,,,,,
4.416666667,97.7517,,,,,
4.433333333,92.8641,,,,,
4.45,92.8641,,,,,
4.466666667,92.8641,,,,,
4.483333333,87.9765,,,,,
4.5,92.8641,,,,,
4.516666667,92.8641,,,,,
4.533333333,92.8641,,,,,
4.55,92.8641,,,,,
4.566666667,87.9765,,,,,
4.583333333,92.8641,,,,,
4.6,92.8641,,,,,
4.616666667,92.8641,,,,,
4.633333333,92.8641,,,,,
4.65,92.8641,,,,,
4.666666667,97.7517,,,,,
4.683333333,92.8641,,,,,
4.7,92.8641,,,,,
4.716666667,87.9765,,,,,
4.733333333,92.8641,,,,,
4.75,92.8641,,,,,
4.766666667,92.8641,,,,,
4.783333333,92.8641,,,,,
4.8,92.8641,,,,,
4.816666667,92.8641,,,,,
4.833333333,92.8641,,,,,
4.85,92.8641,,,,,
4.866666667,92.8641,,,,,
4.883333333,92.8641,,,,,
4.9,92.8641,,,,,
4.916666667,92.8641,,,,,
4.933333333,87.9765,,,,,
4.95,92.8641,,,,,
4.966666667,92.8641,,,,,
4.983333333,92.8641,,,,,
5,87.9765,,,,,
5.016666667,87.9765,,,,,
5.033333333,87.9765,,,,,
5.05,87.9765,,,,,
5.066666667,92.8641,,,,,
5.083333333,92.8641,,,,,
5.1,92.8641,,,,,
5.116666667,87.9765,,,,,
5.133333333,87.9765,,,,,
5.15,87.9765,,,,,
5.166666667,92.8641,,,,,
5.183333333,92.8641,,,,,
5.2,87.9765,,,,,
5.216666667,87.9765,,,,,
5.233333333,87.9765,,,,,
5.25,92.8641,,,,,
5.266666667,87.9765,,,,,
5.283333333,87.9765,,,,,
5.3,92.8641,,,,,
5.316666667,87.9765,,,,,
5.333333333,87.9765,,,,,
5.35,87.9765,,,,,
5.366666667,92.8641,,,,,
5.383333333,87.9765,,,,,
5.4,87.9765,,,,,
5.416666667,92.8641,,,,,
5.433333333,87.9765,,,,,
5.45,87.9765,,,,,
5.466666667,83.089,,,,,
5.483333333,87.9765,,,,,
5.5,87.9765,,,,,
5.516666667,87.9765,,,,,
5.533333333,87.9765,,,,,
5.55,92.8641,,,,,
5.566666667,87.9765,,,,,
5.583333333,87.9765,,,,,
5.6,87.9765,,,,,
5.616666667,87.9765,,,,,
5.633333333,92.8641,,,,,
5.65,87.9765,,,,,
5.666666667,87.9765,,,,,
5.683333333,87.9765,,,,,
5.7,87.9765,,,,,
5.716666667,92.8641,,,,,
5.733333333,87.9765,,,,,
5.75,87.9765,,,,,
5.766666667,87.9765,,,,,
5.783333333,92.8641,,,,,
5.8,87.9765,,,,,
5.816666667,87.9765,,,,,
5.833333333,92.8641,,,,,
5.85,87.9765,,,,,
5.866666667,87.9765,,,,,
5.883333333,83.089,,,,,
5.9,87.9765,,,,,
5.916666667,87.9765,,,,,
5.933333333,87.9765,,,,,
5.95,87.9765,,,,,
5.966666667,87.9765,,,,,
5.983333333,87.9765,,,,,
6,87.9765,,,,,
6.016666667,87.9765,,,,,
6.033333333,87.9765,,,,,
6.05,92.8641,,,,,
6.066666667,83.089,,,,,
6.083333333,87.9765,,,,,
6.1,87.9765,,,,,
6.116666667,87.9765,,,,,
6.133333333,87.9765,,,,,
6.15,87.9765,,,,,
6.166666667,87.9765,,,,,
6.183333333,87.9765,,,,,
6.2,87.9765,,,,,
6.216666667,87.9765,,,,,
6.233333333,87.9765,,,,,
6.25,87.9765,,,,,
