Time [s],V [mV],,,
0.016666667,107.5269,,,
0.033333333,127.0772,,,
0.05,146.6276,,,
0.066666667,185.7283,,,
0.083333333,254.1544,,,
0.1,337.2434,,,
0.116666667,420.3324,,,
0.133333333,488.7586,,,
0.15,571.8475,,,
0.166666667,684.262,,,
0.183333333,830.8895,,,
0.2,1016.6178,,,
0.216666667,1202.346,,,
0.233333333,1397.8495,,,
0.25,1588.4653,,,
0.266666667,1779.0811,,,
0.283333333,1930.5963,,,
0.3,2047.8983,,,
0.316666667,2135.8749,,,
0.333333333,2228.739,,,
0.35,2385.1417,,,
0.366666667,2580.6452,,,
0.383333333,2805.4741,,,
0.4,3049.8534,,,
0.416666667,3328.4457,,,
0.433333333,3577.7126,,,
0.45,3660.8016,,,
0.466666667,3406.6471,,,
0.483333333,2663.7341,,,
0.5,1774.1935,,,
0.516666667,1173.0205,,,
0.533333333,782.0137,,,
0.55,532.7468,,,
0.566666667,371.4565,,,ACT: 63bpm
0.583333333,268.8172,,,
0.6,205.2786,,,
0.616666667,166.1779,,,
0.633333333,136.8524,,,
0.65,122.1896,,,
0.666666667,107.5269,,,
0.683333333,97.7517,,,
0.7,92.8641,,,
0.716666667,92.8641,,,
0.733333333,92.8641,,,
0.75,92.8641,,,
0.766666667,92.8641,,,
0.783333333,92.8641,,,
0.8,92.8641,,,
0.816666667,92.8641,,,
0.833333333,92.8641,,,
0.85,92.8641,,,
0.866666667,92.8641,,,
0.883333333,92.8641,,,
0.9,97.7517,,,
0.916666667,97.7517,,,
0.933333333,97.7517,,,
0.95,97.7517,,,
0.966666667,102.6393,,,
0.983333333,97.7517,,,
1,97.7517,,,
1.016666667,97.7517,,,
1.033333333,112.4145,,,
1.05,151.5152,,,
1.066666667,215.0538,,,
1.083333333,288.3675,,,
1.1,371.4565,,,
1.116666667,474.0958,,,
1.133333333,601.173,,,
1.15,742.913,,,
1.166666667,899.3157,,,
1.183333333,1045.9433,,,
1.2,1182.7957,,,
1.216666667,1309.8729,,,
1.233333333,1422.2874,,,
1.25,1539.5894,,,
1.266666667,1676.4418,,,
1.283333333,1837.7322,,,
1.3,1984.3597,,,
1.316666667,2140.7625,,,
1.333333333,2306.9404,,,
1.35,2478.0059,,,
1.366666667,2663.7341,,,
1.383333333,2854.35,,,
1.4,3044.9658,,,
1.416666667,3216.0313,,,
1.433333333,3377.3216,,,
1.45,3509.2864,,,
1.466666667,3611.9257,,,
1.483333333,3719.4526,,,
1.5,3866.0802,,,
1.516666667,4042.0332,,,
1.533333333,4247.3118,,,
1.55,4457.478,,,
1.566666667,4618.7683,,,
1.583333333,4565.0049,,,
1.6,4076.2463,,,
1.616666667,3108.5044,,,
1.633333333,2043.0108,,,
1.65,1344.086,,,
1.666666667,894.4282,,,
1.683333333,606.0606,,,
1.7,420.3324,,,
1.716666667,303.0303,,,
